Name,zipcode,lat,long,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Old Bank District,90013,34.043925,-118.2424291,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Grand Hope Park,90017,34.0543797,-118.2672801,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Hollywood Heritage Museum,90068,34.1235157,-118.3286614,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Orpheum Theater,90014,34.0434783,-118.2519314,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
University of Southern California,90089,34.0220127,-118.2892046,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Parkhurst Galleries,90731,33.7241323,-118.2643567,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Ackerman Mansion,90027,34.1220545,-118.2935891,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Sepulveda House,90012,34.0653347,-118.243891,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Lake Balboa Park,91406,34.1985119,-118.4980744,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
L.A. Live,90015,34.0390107,-118.2672801,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Tischler House,90049,34.0963058,-118.4980744,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Venice Beach,90291,33.9962144,-118.4688776,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Audubon Center at Debs Park,90031,34.081032,-118.2117257,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Olimila Gourmet Emporium,91604,34.1366259,-118.3987842,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Vista Hermosa Natural Park,90026,34.0796167,-118.2585096,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
West Los Angeles Buddhist Temple,90025,34.0448583,-118.4484367,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Drum Barracks Civil War Museum,90744,33.7857948,-118.2643567,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Wat Thai of Los Angeles,91605,34.208195,-118.3987842,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
Holyland Exhibition,90039,34.1103407,-118.2585096,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
La Brea Tar Pits and Museum,90036,34.0664817,-118.3520389,Clear,Clear,Clear,Clouds,Clear,Rain,Clear,Clear,Clear,Clear
