Name,zipcode,lat,long,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10
Richard Rodgers Theatre,10036,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Brooks Atkinson Theatre,10036-1411,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
The New York Mosque,10029,40.79164069999999,-73.9447994,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Hispanic Society of America,10032-7501,40.8409822,-73.9447994,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
St. Nicholas Russian Orthodox Cathedral,10219,54.7185664,25.3203222,Snow,Rain,Clear,Rain,Rain,Rain,Rain,Rain,Clear,Snow
The Dakota,10023-3486,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Grace Church,10003,40.7322535,-73.9874105,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Century 21,10007,40.7136487,-74.0087126,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Rohrbachs Railroad Street Brewery,14609,43.1770344,-77.55047789999999,Snow,Clear,Rain,Snow,Snow,Rain,Clear,Rain,Clear,Clear
Roberto Clemente State Park,10453,40.8515872,-73.9154069,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
New York Public Library - Bloomingdale Library,10025,40.7999209,-73.96831019999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
St. Thomas Church,10019,40.7686973,-73.9918181,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Marquis Theatre,10036-3902,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
St. Patrick's Old Cathedral,10012,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
The Jewish Museum,10128,40.7826039,-73.9506774,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Lincoln Center for the Performing Arts,10023,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Swiss Institute,10012-4457,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Fort Tryon Park,10040,40.8639624,-73.93304289999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Molly Pitcher's Ale House,10028,40.77664120000001,-73.9521468,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Gladstone Gallery,10011,40.7464969,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Chinese Porcelain Company,10022-1669,40.7593941,-73.9697795,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Fulton Fish Market,10038,40.7071498,-74.0021019,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Eastern States Buddhist Temple of America,10013,40.7217861,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Metropolitan Playhouse,10009,40.7275043,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Battery Park,10280,40.7084274,-74.0173484,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Holographic Studios,10010,40.7388319,-73.98153370000001,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Sea Glass Carousel,10004,40.7038704,-74.0138541,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Theodore Roosevelt Park,10024,40.7859464,-73.97418739999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
John Jay Park,10075,40.7728432,-73.9558204,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Greater Refuge Temple,10027,40.8138912,-73.96243270000001,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Krause Gallery,10002,40.7135097,-73.9859414,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Soho Triad Fine Arts Gallery,10013-5903,40.7217861,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Schomburg Center for Research in Black Culture,10037,40.8140369,-73.9374517,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Federal Reserve Bank of New York,10045,40.708873,-74.0093553,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Herald Square,10001-2902,40.75368539999999,-73.9991637,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
James Graham & Sons Gallery,10065,40.7645239,-73.96243270000001,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Dyckman Farmhouse Museum,10034,40.8721452,-73.92128579999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Caywood Vineyards,14860,42.5893626,-76.8490328,Clear,Clear,Rain,Rain,Snow,Rain,Clear,Rain,Clear,Clear
Houdini Museum of New York at Fantasma Magic,10001,40.75368539999999,-73.9991637,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Grand Central Terminal,10017,40.7519846,-73.9697795,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Minskoff Theatre,10036-8901,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Bethel Gospel Assembly,10035,40.794065,-73.9271644,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Central Synagogue,10022,40.7593941,-73.9697795,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Kinokuniya Book Stores of America,10018,40.755322,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
American Numismatic Society,10032,40.8409822,-73.9447994,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Stephen A. Schwarzman Building,10018-2788,40.755322,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Malcolm Shabazz Harlem Market,10026,40.8032131,-73.95258249999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
David Beitzel Gallery,10012-5416,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Empire State Building,10118,40.74843,-73.98564999999999,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
FDNY Memorial Wall,10006,40.709329,-74.0131196,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
New York Public Library for the Performing Arts,10023-7486,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
ExtraVertical Climbing Center,10023-7015,40.7769059,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Heller Gallery,10014,40.7366138,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Matthew Marks Gallery,10011-1108,40.7464969,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Vivian Beaumont Theater - Macbeth,1--23,33.02390320000001,39.5873451,Clear,Clear,Rain,Clear,Clear,Clear,Rain,Clear,Clear,Clear
St. Nicholas Park,10030,40.8173411,-73.9433299,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
American Fine Arts Gallery,10013-2227,40.7217861,-74.0094471,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Curt Marcus Gallery,10012-3210,40.7250632,-73.9976946,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
China Institute,10021,40.7700703,-73.9580246,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Poets House,10282,40.7167028,-74.0152027,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Hamilton Grange National Memorial,10031,40.8270209,-73.9506774,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Fantasy Forest Amusement Park at the Flushing Meadows Carousel,11368,40.7506343,-73.8477874,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Al Hirschfeld Theatre,10036-3802,40.7602619,-73.9932872,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
Sniffen Court Historic District,10016,40.74727,-73.9800645,Clear,Clear,Rain,Rain,Rain,Clear,Clear,Rain,Clear,Clear
